CustomerID,TotalOrders,TotalRevenue,AvgRevenue
C00001,40,109349.646005445,2733.74115013611
C00002,40,100636.308426917,2515.90771067292
C00003,48,133030.394655823,2771.46655532964
C00004,42,143071.106611827,3406.45491932921
C00005,41,112316.096602332,2739.41699030077
C00006,57,118785.402690113,2083.95443315989
C00007,57,160204.65662763,2810.60801101105
C00008,46,88941.9951403479,1933.52163348582
C00009,64,155712.091298538,2433.00142653965
C00010,56,88163.513071206,1574.34844770011
C00011,46,81492.5355173686,1771.57685907323
C00012,58,146844.430404976,2531.80052422372
C00013,34,71565.6513185197,2104.87209760352
C00014,52,142775.448317031,2745.68169840444
C00015,48,119389.065578643,2487.27219955506
C00016,61,116581.271270563,1911.16838148464
C00017,54,148100.244247869,2742.59711570128
C00018,57,148981.924412177,2613.71797214345
C00019,42,106643.714013538,2539.13604794138
C00020,58,78256.9541587103,1349.25783032259
C00021,47,101340.555013761,2156.18202156938
C00022,50,125686.324288062,2513.72648576125
C00023,67,122372.149464723,1826.44999201079
C00024,60,123374.010522932,2056.23350871553
C00025,60,150938.56369306,2515.64272821767
C00026,47,113577.253938089,2416.53731783169
C00027,39,78880.9246299097,2022.58781102333
C00028,40,84181.0697456304,2104.52674364076
C00029,44,88237.8013982099,2005.40457723204
C00030,37,81973.7582255292,2215.50697906836
C00031,46,82088.5440485744,1784.53356627336
C00032,39,95784.6328329368,2456.01622648556
C00033,53,94982.3590592699,1792.11998225038
C00034,65,146613.474095352,2255.59190915926
C00035,42,130552.62970826,3108.39594543477
C00036,38,91759.5365530023,2414.72464613164
C00037,43,99317.6585622113,2309.71298981887
C00038,52,103551.0021597,1991.36542614807
C00039,44,88887.6734522274,2020.17439664153
C00040,45,110679.543934031,2459.54542075624
C00041,52,107407.316297605,2065.52531341548
C00042,50,104213.67217908,2084.2734435816
C00043,58,139673.082973268,2408.15660298737
C00044,46,124377.155617423,2703.85120907441
C00045,43,70717.4922432439,1644.59284286614
C00046,52,131366.794054353,2526.28450104524
C00047,50,102393.56112342,2047.8712224684
C00048,54,122319.904896379,2265.18342400703
C00049,44,84355.1685700126,1917.16292204574
C00050,49,100032.256983238,2041.47463231099
C00051,48,102751.405243463,2140.65427590548
C00052,38,74670.0850031963,1965.00223692622
C00053,33,38233.8159717896,1158.60048399363
C00054,54,120473.858311686,2230.99737614234
C00055,51,90215.9092914883,1768.93939787232
C00056,66,157023.526560176,2379.14434182086
C00057,49,105397.451991043,2150.96840798047
C00058,44,83028.9870940138,1887.02243395486
C00059,56,165563.236280206,2956.48636214653
C00060,47,120740.097563746,2568.93824603714
C00061,55,160557.733581617,2919.23151966576
C00062,55,121090.990292382,2201.6543689524
C00063,53,108061.740406316,2038.90076238332
C00064,48,105330.745996811,2194.39054160024
C00065,49,78435.0695659495,1600.71570542754
C00066,48,100410.970976335,2091.89522867365
C00067,43,102293.499905736,2378.91860245898
C00068,41,89384.2767603085,2180.10431122704
C00069,57,130646.911344572,2292.05107622056
C00070,65,135452.735493615,2083.8882383633
C00071,37,71117.7605800638,1922.10163729902
C00072,51,94482.9213349516,1852.60630068533
C00073,39,103387.776448581,2650.96862688669
C00074,55,136544.272165517,2482.62313028213
C00075,46,89583.88806107,1947.47582741457
C00076,44,109830.064144309,2496.13782146158
C00077,52,135638.460013067,2608.43192332822
C00078,51,94217.6274449797,1847.40445970548
C00079,49,120223.470264264,2453.54020947478
C00080,46,127506.738179842,2771.88561260526
C00081,72,161591.552150509,2244.32711320152
C00082,46,120475.405395828,2619.03055208323
C00083,47,93280.5784036823,1984.69315752516
C00084,62,190310.984132143,3069.53200213134
C00085,46,130965.150805066,2847.0684957623
C00086,59,138035.350286314,2339.58220824261
